0,1,2,3,4,5
0.23418397,0.44787225,0.28050095,0.43803966,0.39256823,0.43649775
0.38598973,0.6656144,0.38195977,0.5519357,0.6414914,0.6586851
0.55470437,0.86518276,0.54575425,0.658788,0.8526949,0.8726748
0.6533852,0.9500258,0.6985107,0.6813714,0.90961576,0.97641146
0.62781554,0.86126924,0.7659766,0.58987427,0.7619139,0.90526843
0.5005669,0.6286993,0.7139432,0.4345529,0.4874631,0.689705
0.34374148,0.3501972,0.5585599,0.29447383,0.23162241,0.42657414
0.22921018,0.13441202,0.3669771,0.2220481,0.10210726,0.21414924
0.19840313,0.04459122,0.2226851,0.23298961,0.12019107,0.10666495
0.2614571,0.08295663,0.17657873,0.3211298,0.24984659,0.11270753
0.41142642,0.22346221,0.24171141,0.4708789,0.4465905,0.2212872
0.61855334,0.43023595,0.40152544,0.64635164,0.65820664,0.40329847
0.80900913,0.63883847,0.596621,0.77278847,0.79645556,0.59000134
0.89081204,0.7648641,0.7357643,0.7683169,0.771344,0.69640195
0.8388097,0.7724137,0.7619494,0.6276522,0.5960772,0.699227
0.71435535,0.6998826,0.6836204,0.4380657,0.39536455,0.6502043
0.5913211,0.6072172,0.5446795,0.29824722,0.2860057,0.6057681
0.5079572,0.53195095,0.4022407,0.25538486,0.3009219,0.58707607
0.46944433,0.48262522,0.3058904,0.3039223,0.40570363,0.5887084
0.46093053,0.44871655,0.2787768,0.40840876,0.5389602,0.5927236
0.45600832,0.41278312,0.31633976,0.5209723,0.63448936,0.5749111
0.42745775,0.36161688,0.39273798,0.59494436,0.63931686,0.5152966
0.36747378,0.29995224,0.47150198,0.60634285,0.54564446,0.41881946
0.3002146,0.257352,0.524388,0.5680836,0.40733868,0.3230381
0.2650833,0.27126348,0.5457939,0.51617914,0.30714235,0.27430883
0.28739798,0.35870713,0.54846066,0.4838888,0.30370227,0.29835102
0.36530036,0.5067233,0.548063,0.48624516,0.40682748,0.39225215
0.47156006,0.6758426,0.54720074,0.51228637,0.5792988,0.5272138
